A,B,C,D,E,F,G,H,I
194.768,19.848,4.555,64.696,133.536,8.707,179,1,207.6
191.232,19.848,8.445,64.696,126.464,8.707,117,0,199.3
191.232,19.848,4.555,75.304,126.464,7.293,146,1,198.4
194.768,19.848,4.555,75.304,126.464,7.293,182,0,201.5
194.768,19.848,8.445,64.696,126.464,7.293,170,0,201.5
194.768,19.848,8.445,64.696,126.464,8.707,148,0,206.5
194.768,25.152,4.555,64.696,126.464,8.707,144,0,201.9
194.768,25.152,8.445,64.696,126.464,7.293,176,0,201.5
194.768,25.152,4.555,75.304,133.536,8.707,165,1,201.9
191.232,25.152,4.555,64.696,133.536,8.707,137,0,199
191.232,19.848,4.555,64.696,126.464,7.293,145,1,198.4
191.232,19.848,4.555,75.304,133.536,8.707,146,0,198.5
194.768,19.848,4.555,75.304,133.536,8.707,179,0,207.6
194.768,19.848,4.555,75.304,133.536,7.293,200,0,201.5
194.768,25.152,4.555,75.304,126.464,8.707,144,0,201.9
191.232,25.152,8.445,64.696,133.536,7.293,163,1,198.2
191.232,25.152,4.555,64.696,133.536,7.293,189,1,198.5
191.232,19.848,8.445,75.304,126.464,8.707,117,0,199.9
194.768,25.152,4.555,75.304,126.464,7.293,182,1,201.4
194.768,19.848,4.555,64.696,126.464,8.707,145,0,207.6
194.768,19.848,8.445,64.696,133.536,7.293,181,0,201.5
191.232,25.152,8.445,75.304,133.536,8.707,134,0,199.1
194.768,25.152,8.445,64.696,133.536,8.707,173,0,209.6
191.232,25.152,8.445,75.304,126.464,8.707,111,0,199.1
191.232,19.848,8.445,64.696,126.464,8.707,117,0,199.3
194.768,25.152,8.445,64.696,133.536,7.293,194,0,201.5
191.232,25.152,4.555,64.696,126.464,7.293,146,1,198.5
194.768,19.848,8.445,75.304,133.536,8.707,173,0,206.5
191.232,25.152,4.555,64.696,133.536,8.707,137,0,199
191.232,19.848,8.445,75.304,133.536,7.293,176,0,199.2
191.232,19.848,4.555,64.696,133.536,7.293,177,1,198.4
191.232,19.848,8.445,75.304,133.536,7.293,176,0,199.2
194.768,25.152,8.445,75.304,133.536,7.293,194,0,201.5
194.768,25.152,8.445,75.304,126.464,7.293,177,1,201.5
191.232,25.152,4.555,75.304,126.464,7.293,146,1,198.5
191.232,25.152,8.445,75.304,126.464,8.707,111,0,199.1
193,22.5,6.5,64.7,130,8,150,1,200.5
191.23,19.85,4.56,64.7,133.54,7.29,170,1,198
194.77,25.15,4.56,64.7,133.54,7.29,196,1,201.4
198.00556,22.5,6.5,64.7,130,8,191,0,203.9
191.23,25.15,4.56,64.7,133.54,8.71,135,0,198.9
191.23,25.15,8.44,64.7,126.46,8.71,112,0,199
193,22.5,6.5,64.7,130,8,150,1,200.5
187.99444,22.5,6.5,64.7,130,8,122,0,195.9
193,15.0058,6.5,64.7,130,8,166,1,200.1
193,22.5,6.5,64.7,119.98888,8,115,0,200.5
194.77,25.15,8.44,64.7,133.54,8.71,177,1,207.6
194.77,19.85,8.44,64.7,126.46,8.71,143,0,202.9
193,22.5,6.5,64.7,130,8,150,1,200.5
193,22.5,6.5,64.7,140.01112,8,203,1,200.5
193,22.5,6.5,64.7,130,5.99212,162,1,199.5
191.23,19.85,8.44,64.7,126.46,7.29,158,1,198
194.77,19.85,4.56,64.7,126.46,7.29,178,1,201.6
193,22.5,6.5,64.7,130,8,150,1,200.5
193,22.5,1.01368,64.7,130,8,155,1,200.6
193,22.5,11.98632,64.7,130,8,151,1,200.3
193,22.5,6.5,64.7,130,10.00788,136,0,211.7
194.77,19.85,8.44,64.7,133.54,7.29,202,0,201.6
193,22.5,6.5,64.7,130,8,150,1,200.5
193,29.9942,6.5,64.7,130,8,148,1,200.2
191.23,25.15,4.56,64.7,126.46,7.29,146,1,197.9
194.77,19.85,4.56,64.7,133.54,8.71,171,0,203.6
191.23,19.85,4.56,64.7,126.46,8.71,117,0,198.2
191.23,19.85,8.44,64.7,133.54,8.71,147,0,207.3
194.77,25.15,8.44,64.7,126.46,7.29,168,0,201.4
193,22.5,6.5,64.7,130,8,150,1,200.5
191.23,25.15,8.44,64.7,133.54,7.29,161,1,198.8
194.77,25.15,4.56,64.7,126.46,8.71,154,0,205.6
